               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11489,            0.034318,                   0,           0.0033333,                   1,            0.024875,           0.0076166,            0.067799,            0.028427,                   0,              0.0856,              0.0016,              0.0016
                   1,             0.09626,             0.03399,                   0,           0.0033333,                   1,            0.035536,            0.014214,            0.046633,            0.029689,                   0,            0.070235,           0.0032347,           0.0032347
                   2,              0.0851,            0.034432,                   0,           0.0033333,                   1,             0.16583,            0.066333,            0.038423,             0.02765,                   0,            0.054802,            0.004802,            0.004802
                   3,            0.076831,            0.033444,                   0,           0.0033333,                   1,              0.0398,            0.016266,            0.040778,            0.023143,                   0,            0.039302,            0.006302,            0.006302
                   4,            0.074293,             0.02688,                   0,             0.11767,                   1,               0.995,               0.398,            0.048456,             0.01781,                   0,            0.023735,           0.0077347,           0.0077347
                   5,            0.074171,            0.027837,                   0,             0.19164,                   1,              0.4975,             0.13681,            0.054931,            0.014787,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.072534,            0.023359,                   0,             0.23803,                   1,               0.995,             0.16169,            0.045958,            0.015741,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.068623,            0.028927,                   0,             0.12476,                   1,               0.995,              0.4975,            0.028499,            0.018802,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.065456,            0.024891,                   0,             0.16303,                   1,               0.995,               0.398,            0.046265,            0.013704,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.064058,            0.024482,                   0,             0.40178,                   1,               0.995,               0.398,            0.035496,            0.014261,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.067063,            0.026165,                   0,              0.7606,                   1,               0.995,              0.4975,            0.028205,            0.013645,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.055302,            0.026599,                   0,             0.83187,                   1,               0.995,             0.40629,            0.029417,            0.011846,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.052269,             0.02436,                   0,             0.77038,                   1,               0.995,             0.43117,            0.031274,            0.011039,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.052493,            0.023556,                   0,             0.92396,                   1,               0.995,               0.398,            0.026971,            0.010571,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.050326,            0.021046,                   0,             0.74025,                   1,               0.995,              0.6965,            0.025195,            0.010034,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.050596,            0.017991,                   0,             0.92465,                   1,               0.995,              0.6965,            0.024935,           0.0088609,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04773,             0.01898,                   0,              0.7108,                   1,               0.995,              0.4975,            0.032219,           0.0089743,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.048958,            0.017626,                   0,             0.58801,                   1,               0.995,             0.43117,            0.031348,           0.0098196,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.051141,            0.016576,                   0,             0.94979,                   1,               0.995,              0.6965,            0.023953,            0.010071,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.046784,            0.018105,                   0,             0.95513,                   1,               0.995,              0.6965,            0.023495,           0.0096435,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.044581,            0.015941,                   0,             0.95263,                   1,               0.995,              0.4975,             0.02627,           0.0088773,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.043596,             0.01689,                   0,             0.95491,                   1,               0.995,               0.796,            0.014949,           0.0086259,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.041355,            0.015458,                   0,             0.95109,                   1,               0.995,               0.796,            0.013995,           0.0087445,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.040441,            0.017146,                   0,             0.95668,                   1,               0.995,              0.8955,             0.01457,           0.0087146,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.037554,            0.014272,                   0,             0.93779,                   1,               0.995,               0.796,            0.017691,           0.0085627,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.040685,            0.017066,                   0,             0.95787,                   1,               0.995,               0.796,            0.016672,           0.0087264,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.036893,            0.015239,                   0,             0.95786,                   1,               0.995,              0.6965,            0.012808,           0.0086243,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.038253,            0.018657,                   0,             0.95876,                   1,               0.995,              0.6965,            0.015392,           0.0084247,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.038159,            0.014975,                   0,             0.95459,                   1,               0.995,               0.796,            0.013093,            0.007979,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.03554,            0.015521,                   0,             0.95652,                   1,               0.995,              0.6965,            0.014398,           0.0085455,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.035028,            0.015412,                   0,              0.9591,                   1,               0.995,               0.597,            0.016389,           0.0086492,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.033462,            0.015054,                   0,             0.96029,                   1,               0.995,               0.597,            0.015701,           0.0088231,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.032919,            0.014819,                   0,             0.96247,                   1,               0.995,               0.796,            0.014714,            0.008288,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.031979,            0.014359,                   0,             0.96302,                   1,               0.995,              0.6965,            0.011979,           0.0086097,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.033415,            0.014535,                   0,             0.96238,                   1,               0.995,              0.6965,            0.015177,           0.0078545,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.030812,            0.014496,                   0,             0.96312,                   1,               0.995,              0.6965,            0.013163,           0.0075421,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029749,            0.013186,                   0,             0.96558,                   1,               0.995,               0.796,            0.011102,           0.0075739,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029683,             0.01228,                   0,             0.96564,                   1,               0.995,               0.796,            0.011505,           0.0087784,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.028306,            0.012206,                   0,             0.96749,                   1,               0.995,              0.6965,            0.013063,           0.0091148,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.027374,            0.012362,                   0,             0.96834,                   1,               0.995,              0.8955,            0.011694,           0.0087719,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.029505,            0.013522,                   0,             0.96861,                   1,               0.995,               0.796,            0.010125,           0.0086648,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02751,            0.013355,                   0,             0.96885,                   1,               0.995,              0.8955,           0.0097666,           0.0086115,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.028074,            0.012214,                   0,             0.96898,                   1,               0.995,              0.8955,           0.0098984,           0.0085103,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.027595,            0.012877,                   0,             0.96905,                   1,               0.995,              0.8955,            0.010917,           0.0086395,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025744,            0.011326,                   0,             0.96871,                   1,               0.995,              0.8955,           0.0090257,           0.0084314,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.026377,            0.010995,                   0,             0.96866,                   1,               0.995,              0.8955,           0.0091024,           0.0080708,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02618,            0.011161,                   0,             0.96927,                   1,               0.995,              0.8955,           0.0092548,            0.007918,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.02589,            0.011276,                   0,             0.96904,                   1,               0.995,              0.8955,           0.0090075,           0.0077477,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.026618,            0.012649,                   0,               0.969,                   1,               0.995,              0.8955,            0.008597,           0.0075445,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.02576,            0.013959,                   0,             0.96899,                   1,               0.995,              0.8955,           0.0085483,           0.0074247,                   0,            0.000496,            0.000496,            0.000496
