               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03009,            0.019522,                   0,             0.93081,             0.96101,             0.97797,             0.69972,            0.020879,           0.0080171,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.027394,            0.017827,                   0,             0.93018,              0.9519,             0.98584,             0.68678,            0.024135,           0.0067965,                   0,            0.040566,           0.0065795,           0.0065795
                   2,            0.030995,            0.017452,                   0,             0.95766,             0.96429,             0.97787,             0.51935,             0.02903,           0.0068153,                   0,            0.010523,           0.0098691,           0.0098691
                   3,            0.033823,            0.018023,                   0,             0.93082,             0.96124,             0.97456,             0.46019,            0.032154,            0.007242,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.032693,            0.016152,                   0,             0.90212,                   1,             0.98451,             0.55062,            0.031597,           0.0063279,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.032349,            0.015642,                   0,             0.96241,                   1,             0.98776,             0.58733,            0.031824,           0.0067722,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.031541,            0.015862,                   0,             0.93021,             0.92857,             0.97947,             0.61577,            0.029106,           0.0071123,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.029051,            0.014928,                   0,             0.93058,             0.95769,             0.97145,             0.67561,            0.023622,           0.0060919,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.030806,            0.014914,                   0,             0.96427,             0.96399,             0.98424,               0.581,            0.027649,           0.0063272,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.031349,            0.015598,                   0,             0.96101,                   1,             0.99017,             0.63649,            0.028667,           0.0063741,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.029459,             0.01539,                   0,             0.95815,             0.81781,             0.92238,             0.63582,            0.026337,           0.0073606,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.030182,            0.014983,                   0,             0.96115,                   1,             0.98914,             0.51952,            0.031714,           0.0065059,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.029849,            0.015798,                   0,              0.9605,             0.92857,              0.9877,             0.65521,            0.025572,           0.0066575,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.029307,            0.014411,                   0,             0.95913,                   1,             0.99397,             0.61893,            0.025546,           0.0068921,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.029454,            0.014439,                   0,             0.96533,              0.9946,             0.99397,             0.61065,            0.027307,           0.0064262,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.026601,            0.013641,                   0,             0.96395,                   1,             0.99397,             0.66187,            0.023796,           0.0064681,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.028676,            0.014598,                   0,             0.95851,                   1,             0.99259,             0.67746,            0.024771,           0.0062769,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.028327,             0.01352,                   0,             0.96543,             0.99751,             0.98776,             0.69226,            0.020966,           0.0060838,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.024199,            0.013838,                   0,             0.96443,                   1,             0.98293,             0.68985,            0.020546,           0.0062712,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.027521,            0.013896,                   0,             0.96104,                   1,             0.98776,              0.7092,            0.022718,           0.0060345,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.025671,             0.01344,                   0,             0.96551,             0.99979,             0.99155,             0.68476,            0.019304,           0.0058614,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.026058,            0.014468,                   0,             0.96376,                   1,               0.995,               0.678,            0.022801,           0.0064687,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.026888,            0.014306,                   0,             0.96542,             0.99719,             0.99259,             0.66012,            0.024057,           0.0063537,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.026647,            0.014901,                   0,             0.96282,                   1,             0.99259,             0.70223,            0.022831,           0.0057419,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.026863,            0.013879,                   0,             0.96373,                   1,             0.96914,             0.64185,             0.02433,           0.0063847,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.02439,            0.013471,                   0,             0.96323,                   1,             0.97293,             0.65205,            0.022014,           0.0066116,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.02506,            0.013196,                   0,             0.96551,             0.99982,             0.97776,             0.67832,            0.021014,           0.0063817,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.026042,            0.013251,                   0,             0.96296,                   1,             0.98052,             0.72148,            0.020587,           0.0058592,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.023776,            0.013235,                   0,             0.96306,                   1,             0.98293,             0.71455,            0.019361,           0.0059998,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.022965,            0.012692,                   0,             0.96287,                   1,             0.98776,             0.72342,            0.018624,           0.0062676,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.024238,            0.012597,                   0,             0.96397,                   1,             0.98293,             0.64778,            0.022211,           0.0062007,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.022707,            0.013236,                   0,             0.96324,                   1,             0.98776,             0.68388,            0.022002,           0.0066121,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.024771,            0.013251,                   0,             0.96357,                   1,             0.98914,             0.68269,            0.023526,           0.0067316,                   0,            0.008977,            0.008977,            0.008977
                  33,             0.02547,            0.014028,                   0,             0.96254,             0.96429,             0.97764,              0.6864,            0.019821,           0.0070559,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.021941,            0.011915,                   0,             0.96523,              0.9917,              0.9681,              0.7013,            0.019666,           0.0065497,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.02246,            0.012414,                   0,             0.96376,                   1,             0.98914,             0.70784,            0.018849,           0.0062403,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.021554,            0.012557,                   0,              0.9627,                   1,             0.99155,             0.72142,            0.018341,           0.0063372,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.021816,            0.012559,                   0,             0.96304,                   1,             0.98534,             0.71401,            0.018914,           0.0060334,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.021351,            0.012189,                   0,              0.9623,                   1,             0.98776,             0.72674,            0.019994,            0.006367,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.023469,            0.012235,                   0,             0.96382,                   1,             0.98914,             0.68737,            0.023344,           0.0067663,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.023405,            0.012149,                   0,              0.9632,                   1,             0.98293,             0.71775,            0.021407,           0.0065589,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02222,            0.012277,                   0,             0.93038,                   1,             0.98657,             0.71231,            0.019048,           0.0064547,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.023318,            0.012072,                   0,             0.96379,                   1,             0.98155,             0.74742,            0.019758,           0.0073853,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.022955,            0.012538,                   0,             0.96245,                   1,             0.98638,              0.7277,            0.019143,           0.0073105,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.023377,            0.012703,                   0,             0.96128,                   1,             0.98638,              0.7432,            0.018641,           0.0066548,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02154,            0.012486,                   0,             0.96387,                   1,             0.98914,             0.71242,            0.021909,           0.0072511,                   0,            0.008548,            0.008548,            0.008548
